gene	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3
Maoa	1.195902762530059	1.0023321296410497	0.7797217746946834	-0.9886617326669581	-0.9713918304215795	-1.0179031037772546
Gypa	1.1458650650123627	0.3788101115466991	1.3369466711820892	-1.0815327592069188	-0.8584371100761327	-0.9216519784581
Gstm1	1.048510546486551	1.1079896582344377	0.7650620083458766	-1.2103977567427497	-0.5740151431570921	-1.1371493131670278
Tmx4	0.9733594704737718	0.7773248825227156	1.0286966385256715	-0.207945354861517	-1.1429965746708541	-1.4284390619897869
Gm4841	0.9472276055684515	0.9665603997017713	1.0819569817405812	-0.9380836527503172	-1.0075712712366722	-1.0500900630238152
Tnfaip2	0.9179979542403609	0.7643354831513017	1.2353473271015847	-0.6037922684467052	-1.1050649789215157	-1.208823517125028
Gbp6	0.7219415371983331	1.1841009936700158	1.0387796654926138	-0.720438883534861	-1.1605099454859915	-1.0638733673401108
Cd300lb	0.6594561207774099	1.0785631888740674	1.0937907237419942	-0.359107247420719	-1.1379812349042897	-1.3347215510684616
Impdh1	0.9849838991235437	1.1134966737118355	0.8035622228922374	-0.7512252415456754	-1.4406978344254278	-0.710119719756515
Ccnd2	0.907361306654244	0.7882883966396843	0.7403937391213531	0.15069330003517128	-0.7282126334268892	-1.8585241090235622
Kcnip3	0.9146726202820789	1.1737079111015376	0.8578363424307061	-0.7388213855200867	-1.287744051032629	-0.9196514372616088
St14	1.0720171538865473	1.0134564853800023	0.8253076115104668	-0.6977607738444961	-0.7848329100611522	-1.4281875668713693
Bag3	1.162179174228395	0.9098623306541982	0.8820838677006493	-0.8043883185108808	-0.8678747000678894	-1.2818623540044725
Crip2	1.2000558086548287	0.3763449729825141	1.2829424669390885	-0.8235612939398995	-1.1223702950347592	-0.9134116596017743
Gm4951	0.7669700805425412	1.1230783181449746	1.055945099002242	-0.6756292435745656	-1.1641660605657553	-1.1061981935494372
Met	0.9599134109565252	0.9757154975995229	1.059691580255323	-0.9068030209345948	-1.030936940579704	-1.0575805272970726
Rtl8b	0.8924343161828487	1.108975394034697	0.9702464481619014	-0.8030372452578458	-0.9500828122080702	-1.2185361009135303
Il6ra	0.8181236191164731	0.9375946242613826	1.1363894180654848	-0.46598494662881157	-1.2170281416552995	-1.2090945731592295
H2-DMa	0.6629121541067559	1.2441313970326005	0.7185262594017832	-0.3885573430625001	-0.4691544959538177	-1.7678579715248228
Kel	1.0637037756185055	0.23362658294720343	1.4896225622793375	-0.9718582133598977	-0.8676428804450886	-0.94745182704006
Scd2	0.6466604856447075	0.6536387245853118	0.8211523803520399	0.34426109971168767	-0.41986490547548816	-2.0458477848182586
