gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3	Leukemia_Rx1Tet2_rep1	Leukemia_Rx1Tet2_rep2	Leukemia_Rx1Tet2_rep3	cluster
Fnip2	0.0235966609819714	1.687684045451601	1.2845238017115082	0.3333990040084609	-0.7936291971837668	0.6069748691713907	-0.7988394925536281	-1.2314852858777334	-1.1122244057098023	0
Pycr2	1.223941200132182	0.7050520428370207	0.6518211651859228	0.3183757286707028	1.014317382354446	0.0377084952451177	-1.0977103391413088	-1.1333600730222853	-1.7201456022617874	0
Mtfp1	1.3928864080765369	0.9677254913582028	0.7724499492880428	0.3213569822939368	-0.1668855668195503	0.3176854031682286	-1.9529205806807903	-1.0666771159978292	-0.585620970686772	0
Prdx3	1.3086271924483677	0.8796083976853534	0.8078940707120631	0.5436629895598557	-0.0401913232908763	0.2605092553651225	-0.9206826342601572	-0.8641920582484873	-1.9752358899712457	0
Mrpl12	1.660657759125166	0.5552561839195939	0.3265945464204036	0.6277941085541321	0.5727143356281477	0.0627588199738365	-1.6414187285559876	-1.2620401936128665	-0.9023168314524284	0
Sema4a	1.346316114191338	0.6588150409812749	1.6185811092396225	-0.2660048600310204	-0.2883660898264893	-0.2474748093584164	-0.063796170119895	-1.6145001848264011	-1.1435701502500113	0
Gm9118	0.9030569444984584	0.9886450696119458	0.8082031413627367	0.8455037309113623	0.2020270927789308	0.2808029266464462	-1.4554570425918385	-1.668082242827614	-0.9046996203904206	0
Abhd14a	1.690945047758245	0.634669776789138	0.5693079579317526	0.3762150153594448	0.5332165118378593	-0.2634170524968111	-1.3236304506985597	-0.5135403332894272	-1.7037664731916262	0
Rps28	1.6579923788387645	0.6521758543710773	0.0626409128711892	0.1734484081586341	0.6564129447722441	-0.0838038161715658	-1.3528393074604144	0.1080004700431145	-1.8740278454230173	0
B3gnt5	0.6816186100771194	0.8834192885258917	1.3343047049794	0.4773165825005405	0.4267506108676957	0.2067057393089518	-1.3355311592733297	-1.053057561241192	-1.621526815745075	0
Selenom	1.7598338159648814	0.3848791786291491	0.6669826572169256	0.2571173722370861	0.6932043181409828	-0.4171361763689928	-1.8695687149948077	-0.683886625648338	-0.7914258251768934	0
Cdk1	1.293773195008502	0.3831509622256552	0.5066084769975231	0.6450065241268471	0.6275618830951204	0.4434887011794376	-1.7011155343584892	-1.6495579497552444	-0.548916258519356	0
Tcf4	0.8146836136475261	0.8281625966390155	0.7780436045485042	0.4165467540325641	0.3866113387969104	0.5863271297511562	-1.107807664809299	-0.485502703608557	-2.2170646689978213	0
Asb17os	1.337604327894665	0.8804700515850777	0.8391097454814147	0.5459886774891473	-0.1881871958579411	0.5107403852129622	-1.3085753306017758	-1.3085753306017758	-1.3085753306017758	0
Sfrp4	1.7999288037816383	0.7287797717099888	1.4675483352881629	-0.1666234028621984	-0.7304955891302775	-0.4838114072056151	-0.871775503860566	-0.871775503860566	-0.871775503860566	0
Hmgn5	1.548182500416726	0.1386761407422438	0.3244856203712115	1.2131748638900643	0.3619351141022716	-0.1472854386555081	-1.8274552987131385	-1.1342791944501318	-0.4774343077037413	0
Rps27l	2.0082876229114075	0.1643991272562179	0.4535188601126742	0.7135825470301421	0.1546179183631798	-0.3139279408013283	-1.7233815787314677	-0.5403892533733462	-0.9167073027674776	0
Cnnm2	0.2243047595886892	1.4329755440458625	1.2972851691034917	0.0135439561070198	-0.1371731348866705	0.7329731540117418	-1.7095510264491507	-0.8400505327416188	-1.0143078887793582	0
Npm3-ps1	1.6634432321913908	0.5784024281015541	0.4390275367852203	0.4940669877639423	0.4371471922121677	0.1412501270587775	-1.7938511832925244	-1.21724602712409	-0.7422402936964391	0
St3gal5	0.774738054056649	1.6025862960985011	1.0672110151703758	-0.1464724501251418	-1.6361241919934295	0.5328489725070965	-0.9906362900053846	-0.5577833814631911	-0.6463680242454712	0
Atp4a	0.9552669275016424	1.741428819663483	1.0587072344170536	-0.173318685796642	-0.6811928874186779	0.2485845940474396	-1.1570283894064413	-0.831096736095422	-1.161350876912436	0
Fzd7	-0.3951718823609851	1.4378929280623602	1.1550350077846416	-0.0455682764877232	-0.2978189223110984	0.8833822308857422	-0.1506328737225783	-0.51838818484766	-2.068730027002704	0
Schip1	1.76213766434124	-0.2793916312086054	0.8717996225390375	-0.7786378564444157	-0.056765318190451	-0.7008436266870147	-1.679130831406328	-0.1884940975161896	1.0493260745727293	0
