gene	Preleukemia_Control_rep1	Preleukemia_Control_rep2	Preleukemia_Control_rep3	Preleukemia_Rx1_rep1	Preleukemia_Rx1_rep2	Preleukemia_Rx1_rep3	Preleukemia_Tet2_rep1	Preleukemia_Tet2_rep2	Preleukemia_Tet2_rep3	Preleukemia_Rx1Tet2_rep1	Preleukemia_Rx1Tet2_rep2	Preleukemia_Rx1Tet2_rep3
Alcam	-1.888310157814344	-1.271977880891074	-0.18433684593900782	0.7197350014621534	0.9249004465037505	1.0472175739018281	0.5106809269829539	-0.3939871006263328	-1.4212591220027955	0.3805201470145852	0.2943016712293753	1.2825153401789042
Pyroxd2	-1.1438359349793983	-0.9062354494226038	0.3821116057921574	0.6459211327531751	1.7658992779149971	1.872586445726113	-0.9565846256042245	-0.5603533734542556	-0.9408316709244409	0.5081649122939459	-0.12439027899990338	-0.5424520410955624
Hsd11b1	0.00016873162233444175	-1.7716679339010524	-0.003100415209336143	0.7487081354103319	0.6769045424707233	1.4196703123704544	-0.621464784668478	-1.0260044785572484	-1.6446096566849655	0.8112215902837485	0.8294560042265616	0.5807179526369141
Sell	-1.2821958368564268	-1.2000762404118788	-0.9285418132084802	0.6868665017876182	0.9817288669601424	0.7288266151178193	-0.5300548177156111	-0.7548840571349626	-1.124405466995596	1.0131183195311761	1.3500705304138325	1.059547398512367
Itgb2	-1.2652230516208585	-0.9619513459123556	-0.3228164911793022	1.020214590747185	1.1089422115053649	1.5432513032516333	-0.8912904604131016	-0.9103816200121353	-1.2804244385433559	0.3468333339174626	0.6763749463369875	0.9364710219224734
Sun2	-0.9523190234711416	-1.3541125883465401	-0.2528359257499526	0.7517052662789835	1.3527001384651969	1.5539717826908708	-0.3998552605092839	-0.8807691352167951	-1.5366851210157384	0.34195201853037793	0.799602361190983	0.5766454871530423
Esr1	-1.038195359251861	-1.17645282106468	-0.29853634229099413	1.6091090209095629	1.2338763824782402	1.2968694127954838	0.8535050514840286	-0.7142467884283594	-1.3246803250458572	-0.7489146707885381	-0.010228280502815124	0.31789471970578714
Tcn2	-0.6640362098151558	-1.5608992393220502	-0.29124609272031143	0.7997198524893797	1.434717617661976	1.3777590307065484	-0.4848604454155531	-0.7576949783923771	-1.5250004805560589	0.28950691736637935	1.0570755329847732	0.3249584950124413
S100a8	0.41538482081122424	-1.8799636775956927	-0.029861875009802988	0.6815465327843505	0.6223325167543354	1.4355764380767588	-1.1419539612133482	-1.3169653102617922	-0.8392919073196384	0.9803318558998284	0.3126243059412766	0.7602402611324902
P2rx7	-1.116325745346369	-1.2849370928795931	-0.800556417190391	0.8779592639568637	1.596251210370108	-0.06841870789390354	-0.5562427872360893	-0.7356478014732047	-0.763577478289584	0.13678899616623982	1.381746221582956	1.3329603382329709
Hpse	-1.0907067679881481	-1.0198640304670974	-0.6012852204846385	0.642751269496322	1.186422605733385	0.03853935523324408	-0.5580026131307259	-0.940738677624207	-1.2998669138691101	0.7843478890749394	1.4251284539758895	1.433274650050152
H2-Q7	-1.3521109432306069	-0.9598269903036897	-1.320849069402078	0.08307925189157712	0.5347780694410166	0.5884266755193627	-0.9524152531531601	-0.43367667083343664	-0.2742421792047933	1.2393241883763877	1.6542795398466186	1.19323338105279
Adamtsl4	-0.9872356530225843	-0.9311782625562197	-0.9720409369042396	0.7172509594113563	1.6422075920952661	0.7931556066550034	-0.9872944421008469	-0.975014522401939	-0.97550955093927	0.7142902736398263	1.1571802611597908	0.8041886749638594
BC064078	-0.6691483417214723	-1.1955719779707634	-0.9232790101880846	0.423951240185979	0.7822630069344878	-0.07288906836628715	-0.7312090852109189	-1.0360745546805719	-0.8257467258297878	1.1470011033480072	1.7244980597875001	1.37620535371191
Tulp3	-1.010421979821927	-1.023959966288603	-1.0044136036877795	0.8315028699564468	1.0838924156091032	0.272273490159063	-0.9968813534274149	-0.662721540478966	-1.0245011310818546	0.7923034221602511	1.6051399893399827	1.1377873875616973
Id1	-0.05125735018418724	-1.4555007676852776	-0.6529456003104528	0.6775774974717457	0.32579375195632226	0.4726668950003866	-0.759477016829609	-0.831385953513823	-1.4305865532272308	0.8481398543853188	1.9523218527816137	0.9046533901551942
AB124611	-0.004894631641346061	-1.4079109409386645	-0.07152624492343274	0.3548322129367968	0.7990902337048952	0.9922438950940162	-1.0157770209266919	-1.2997468425990133	-1.484526820874407	0.9500475345933399	1.2390874076101857	0.9490812179643239
Serpina3g	-0.8694987921330241	-0.8010779612107073	-1.0493151639613802	0.1127816184185228	0.5964124301698698	0.48507747979668175	-0.7882081413628831	-1.0325388398938622	-0.9353642385671006	1.1948418388727813	1.8108864310009136	1.276003338870183
Siglece	-1.023192026524922	-1.7842566580438997	-0.7986796239754033	0.5870287463623333	0.6477019572594386	0.7398752733368825	-0.7021883993942722	-0.6458801525419995	-0.608172793435138	1.189946213731499	1.5519249970487992	0.8458924661766816
Grap	-0.7587682498503766	-0.9465735404721649	-1.1265098742378028	0.6982807925113154	1.0430492976488517	0.7934121815386548	-1.117136153983295	-0.983131206782519	-0.9535988028566768	1.2167345419477928	1.3606914984122227	0.7735495161239951
Myof	-0.9912823920856638	-0.942808044668596	-0.902204215311547	0.6878114354021437	0.3300766796851576	-0.30263120728482745	-0.6582832081759208	-0.8503025589177045	-0.8429070813771202	1.2276952726449981	1.5883475137957832	1.6564878062932962
Ptgr1	-0.182314563810969	-1.5696328042262346	-0.5215330304829862	0.5358831863468515	0.5955879654973354	0.782657235291663	-0.9315137388841722	-1.0360471599299512	-1.2289709634605706	1.3831225908684222	1.441073681995208	0.7316876007954088
Nrp2	-1.0614881152913236	-1.0065498184667212	-0.754308517239042	0.8230020166091342	1.1763881643063068	0.6778563001521586	-0.969741747463841	-0.961324338434959	-1.1673540489463154	0.9281215927555724	1.1331567720298759	1.1822417399891554
Irf1	-1.0314932797980036	-1.3906467310217665	-1.0200331190362673	0.4118306198837067	0.8403180101038638	0.5105830860156287	-0.7524632698200013	-0.6885768330699786	-0.7991236591554847	1.1992509424593918	1.4230967607904172	1.297257472648495
Oasl2	-1.1565530381270979	-0.9356145456646366	-1.095527405792147	0.16457106148871803	0.5559260060616268	0.36352324100569006	-0.7146997232643003	-0.6622163336490102	-0.8821115226135532	1.6165943664499833	1.313199307013102	1.4329085870916212
Csf1	-1.3701827879959145	-0.8547244518414484	-0.6915063298012745	0.25424688483430763	0.9377939691553413	0.45666894520744483	-0.5294079307478242	-0.784128727861198	-1.2257236440104642	0.7860881542850409	1.8128527301003998	1.2080231886755932
Hck	-0.5869425554436493	-1.494871979309455	-0.44258784432904713	0.6669151160226285	0.7909509493648402	0.9710877520682423	-0.8818137151726567	-1.040841164455712	-1.255301194913449	0.9539971992092238	1.4554389635777	0.863968473381335
Cd200r4	-0.9961341100328018	-0.9684390056302602	-0.6751340444394788	1.5090681099347236	0.504702519928996	0.3181944396933534	-0.810385636085977	-1.1535826404655591	-0.9900261504452802	1.126967152938143	1.549294011841489	0.585475352762651
Clec4b2	-0.5289309022955949	-1.1463957593515124	-0.4757853006660329	0.94048558305348	0.41107225924372714	1.3257690668634368	-0.9953862038979874	-1.1330083282434096	-1.4082504010732628	0.8472828409664486	0.9182972724016599	1.2448498729990518
H2-Q4	-1.246522037459736	-1.0903290601332754	-1.0723722539707823	0.35456220867818217	0.8608127700287932	0.3370724743668762	-0.8946818801879226	-0.6847277351246255	-0.5493684835513384	0.968457831128693	1.6910221693848762	1.3260739968402664
C4b	-0.9995644291241346	-1.0025928856516684	-0.9854642713721179	0.881298187927248	1.0502284880392827	1.0471383962083822	-0.9426153494953821	-0.966183140684211	-0.9898428341836057	0.4954237495532026	1.4203467347460819	0.9918273540369225
Gpx3	-0.18109561937085492	-1.5219237433676012	-0.43785434173823334	0.4978495012432329	0.8150253589322112	0.9363453573620145	-0.9945280066934419	-1.2228598474484187	-1.2125983066922663	1.0927026882505946	1.2512658041686737	0.9776711553540866
Ear6	-0.059008036915606986	-1.6737784691845659	0.2309371560148378	0.4450162149511095	0.7848809934359388	0.37986691467278183	0.08144052745446266	-1.121093506348518	-1.6120173426861526	0.18023562111911817	2.0465125335032224	0.3170073939833714
Gramd3	-0.8759247147263974	-1.5077254113857828	-0.9582358075596084	0.46714777670082197	0.9694350772200833	0.49022905639761966	-0.5055299257295048	-0.7413710868636814	-1.0615245636098019	1.0778212166240486	1.4800278548472523	1.1656505280849432
